open	high	low	close	volume	companyName	datetime	SMA20	SMA40	SMA100	SMA200	trendlower	trendhigher	tip_vela	cncf01	tip_caida	id_cncf01	ind_posicion	id_cncf	ind_high	iniTrendLow	x	sl_highs	interc_highs	trend
142.42	142.9999	142.07	142.67	7993330	AAPL	2022-12-08 16:00:00	142.132205	144.32976000000002	145.779067	145.14064799999997				0		3.0	1	1			29			
143.6492	144.1	141.49	142.75	473535	AAPL	2022-12-09 09:00:00	142.07120500000002	144.25351	145.726667	145.14479799999998				0		3.0	1	1			30			
142.86	142.89	140.9	141.765	6539449	AAPL	2022-12-09 10:00:00	141.980955	144.14113500000002	145.65921699999998	145.1552485				0		3.0	1	1			31			
141.81	144.31	141.2	144.295	9746887	AAPL	2022-12-09 11:00:00	142.07271	144.09326000000001	145.618267	145.1714485				0		3.0	1	1			32			
144.29	145.12	143.83	145.009	10010287	AAPL	2022-12-09 12:00:00	142.17716000000001	144.05255749999998	145.588157	145.19904350000002		145.009		0		3.0	1	1			33			
145.01	145.57	144.38	144.4347	6057770	AAPL	2022-12-09 13:00:00	142.32339499999998	144.007425	145.548204	145.218004				0		3.0	1	1			34			
144.43	144.47	143.84	144.2	5370958	AAPL	2022-12-09 14:00:00	142.4904	143.9506775	145.51510399999998	145.241354				0		3.0	1	1			35			
144.195	144.32	143.75	143.85	4763043	AAPL	2022-12-09 15:00:00	142.588895	143.87392749999998	145.46650400000001	145.259404				0		3.0	1	1			36			
143.84	144.15	142.07	142.19	9923534	AAPL	2022-12-09 16:00:00	142.644395	143.7336775	145.399754	145.275954				0		3.0	1	1			37			
142.4899	142.8	141.56	142.52	155158	AAPL	2022-12-12 09:00:00	142.72589499999998	143.61167749999998	145.332954	145.28020400000003			hammer	0		3.0	1	1			38			
142.56	143.01	141.64	142.679	6104769	AAPL	2022-12-12 10:00:00	142.816595	143.4296525	145.260044	145.2990195			hammer	0		3.0	1	1			39			
142.69	142.88	141.06	141.77	7887289	AAPL	2022-12-12 11:00:00	142.86784500000002	143.2766525	145.179844	145.31691949999998	141.77			0		3.0	1	1			40			
192.84	193.26	192.59	192.77	3192029	AAPL	2023-08-02 15:00:00	195.047865	195.2904625	194.30975600000002	192.35216249999996			inverted_hammer	0		19.0	-1	2	193.26	True	41			
192.765	192.98	192.22	192.59	8407463	AAPL	2023-08-02 16:00:00	194.87037500000002	195.2422125	194.303343	192.37491250000002				0		19.0	-1	2	192.98	False	42			
191.8	193.19	191.0	191.7147	316873	AAPL	2023-08-03 09:00:00	194.66061	195.13308	194.29149	192.394336			inverted_hammer	0		19.0	-1	2	193.19	False	43			
191.73	192.28	190.69	191.69	6141961	AAPL	2023-08-03 10:00:00	194.433115	195.00253500000002	194.27528999999998	192.41198599999998			hammer	0		19.0	-1	2			44			
191.68	192.03	190.84	191.72	7421285	AAPL	2023-08-03 11:00:00	194.204245	194.90695	194.255702	192.42489700000002			hammer	0		19.0	-1	2			45			
191.72	192.37	191.623	191.74	5291243	AAPL	2023-08-03 12:00:00	193.967245	194.8047	194.233302	192.436685			inverted_hammer	0		19.0	-1	2			46	-0.644025974025974	221.6922294372294	192.0670346320346
191.74	192.36	191.61	192.215	3880645	AAPL	2023-08-03 13:00:00	193.78299499999997	194.7082	194.218052	192.45513499999998				0		19.0	-1	2			47	-0.644025974025974	221.6922294372294	191.42300865800863
192.22	192.3	191.24	191.3702	4320548	AAPL	2023-08-03 14:00:00	193.528755	194.625555	194.198553	192.467236				0		19.0	-1	2			48	-0.644025974025974	221.6922294372294	190.77898268398266
191.37	191.95	191.2	191.84	4840980	AAPL	2023-08-03 15:00:00	193.330755	194.597555	194.18330300000002	192.481636				0		19.0	-1	2			49	-0.644025974025974	221.6922294372294	190.13495670995667
191.85	191.95	190.99	191.0099	11149414	AAPL	2023-08-03 16:00:00	193.0855	194.5420525	194.161402	192.49028550000003				0		19.0	-1	2			50	-0.644025974025974	221.6922294372294	189.4909307359307
187.355	191.17	185.01	186.01	1915730	AAPL	2023-08-04 09:00:00	192.597	194.3158025	194.096302	192.4735855			inverted_hammer	0		19.0	-1	2			51	-0.644025974025974	221.6922294372294	188.84690476190474
