fecha	open	high	low	close	volume	companyName	fecha2
2022-12-15 19:00:00	389.55	389.84	389.45	389.55	93432	SPY	2022-12-15 20:00:00
2022-12-15 18:00:00	389.05	389.73	389.05	389.51	246687	SPY	2022-12-15 19:00:00
2022-12-15 17:00:00	389.0	389.63	388.9	389.0	222677	SPY	2022-12-15 18:00:00
2022-12-15 16:00:00	389.64	389.93	388.66	389.18	7209897	SPY	2022-12-15 17:00:00
2022-12-15 15:00:00	390.21	390.88	388.94	389.65	19941764	SPY	2022-12-15 16:00:00
2022-12-15 14:00:00	388.76	390.265	388.12	390.22	8529262	SPY	2022-12-15 15:00:00
2022-12-15 13:00:00	388.89	388.975	387.885	388.7501	7305190	SPY	2022-12-15 14:00:00
2022-12-15 12:00:00	389.24	390.41	388.62	388.87	7064745	SPY	2022-12-15 13:00:00
2022-12-15 11:00:00	390.7	391.14	388.73	389.26	9772387	SPY	2022-12-15 12:00:00
2022-12-15 10:00:00	391.6	391.94	390.25	390.7	13961820	SPY	2022-12-15 11:00:00
2022-12-15 09:00:00	394.49	395.25	391.17	391.575	9824392	SPY	2022-12-15 10:00:00
2022-12-15 08:00:00	396.1008	400.07	393.67	394.57	1450014	SPY	2022-12-15 09:00:00
2022-12-15 07:00:00	396.12	396.31	395.6	396.15	307886	SPY	2022-12-15 08:00:00
2022-12-15 06:00:00	395.39	396.2	395.34	396.19	172687	SPY	2022-12-15 07:00:00
2022-12-15 05:00:00	395.54	395.9	395.03	395.44	36210	SPY	2022-12-15 06:00:00
2022-12-15 04:00:00	396.33	396.5	394.88	395.7	150184	SPY	2022-12-15 05:00:00
2022-12-14 19:00:00	400.21	400.75	400.02	400.75	143077	SPY	2022-12-14 20:00:00
2022-12-14 18:00:00	400.35	400.74	399.91	400.29	191454	SPY	2022-12-14 19:00:00
2022-12-14 17:00:00	400.42	400.56	400.07	400.32	117223	SPY	2022-12-14 18:00:00
2022-12-14 16:00:00	399.41	400.66	399.21	400.37	4957004	SPY	2022-12-14 17:00:00
2022-12-14 15:00:00	398.88	403.59	397.7	399.41	21542500	SPY	2022-12-14 16:00:00
2022-12-14 14:00:00	404.77	404.86	396.31	398.86	25249216	SPY	2022-12-14 15:00:00
2022-12-14 13:00:00	403.57	405.5	403.501	404.76	5298346	SPY	2022-12-14 14:00:00
2022-12-14 12:00:00	404.15	404.28	403.52	403.56	3807226	SPY	2022-12-14 13:00:00
2022-12-14 11:00:00	404.27	405.04	404.05	404.14	4424143	SPY	2022-12-14 12:00:00
2022-12-14 10:00:00	403.845	404.52	403.47	404.26	5668242	SPY	2022-12-14 11:00:00
2022-12-14 09:00:00	401.75	403.98	401.31	403.85	5235736	SPY	2022-12-14 10:00:00
2022-12-14 08:00:00	402.17	403.27	400.92	401.68	409677	SPY	2022-12-14 09:00:00
2022-12-14 07:00:00	401.94	402.68	401.24	401.44	216059	SPY	2022-12-14 08:00:00
2022-12-14 06:00:00	401.83	402.03	401.09	402.02	45738	SPY	2022-12-14 07:00:00
2022-12-14 05:00:00	402.08	402.29	401.8	401.92	11305	SPY	2022-12-14 06:00:00
2022-12-14 04:00:00	402.37	402.43	401.51	402.03	101450	SPY	2022-12-14 05:00:00
2022-12-13 19:00:00	401.85	402.69	401.62	402.6	128574	SPY	2022-12-13 20:00:00
2022-12-13 18:00:00	401.85	402.3	401.81	401.96	87415	SPY	2022-12-13 19:00:00
2022-12-13 17:00:00	401.89	401.9	401.73	401.81	61475	SPY	2022-12-13 18:00:00
2022-12-13 16:00:00	401.96	402.25	401.5	401.75	3707740	SPY	2022-12-13 17:00:00
2022-12-13 15:00:00	401.58	403.04	399.88	401.95	17746722	SPY	2022-12-13 16:00:00
2022-12-13 14:00:00	401.64	403.22	400.9	401.59	6326588	SPY	2022-12-13 15:00:00
2022-12-13 13:00:00	400.02	402.39	399.78	401.64	7393239	SPY	2022-12-13 14:00:00
2022-12-13 12:00:00	402.67	403.23	399.07	400.0112	11378068	SPY	2022-12-13 13:00:00
2022-12-13 11:00:00	404.43	405.84	401.73	402.65	10139304	SPY	2022-12-13 12:00:00
2022-12-13 10:00:00	409.36	409.54	403.63	404.41	16100621	SPY	2022-12-13 11:00:00
2022-12-13 09:00:00	410.6	411.6	407.4	409.33	12848252	SPY	2022-12-13 10:00:00
2022-12-13 08:00:00	400.89	414.1	398.8	410.55	6948588	SPY	2022-12-13 09:00:00
2022-12-13 07:00:00	400.97	401.81	400.66	401.72	245078	SPY	2022-12-13 08:00:00
2022-12-13 06:00:00	400.68	401.3	400.45	401.02	74594	SPY	2022-12-13 07:00:00
2022-12-13 05:00:00	399.75	400.75	399.37	400.63	26441	SPY	2022-12-13 06:00:00
2022-12-13 04:00:00	398.9	400.27	398.9	399.81	108369	SPY	2022-12-13 05:00:00
2022-12-12 19:00:00	398.74	398.98	398.6	398.76	56152	SPY	2022-12-12 20:00:00
2022-12-12 18:00:00	398.54	398.9	398.46	398.6795	108923	SPY	2022-12-12 19:00:00
2022-12-12 17:00:00	398.41	398.68	398.25	398.55	156155	SPY	2022-12-12 18:00:00
2022-12-12 16:00:00	398.92	398.95	398.21	398.41	10322764	SPY	2022-12-12 17:00:00
2022-12-12 15:00:00	396.75	398.93	396.75	398.91	14698635	SPY	2022-12-12 16:00:00
2022-12-12 14:00:00	395.87	396.88	395.385	396.735	5285361	SPY	2022-12-12 15:00:00
2022-12-12 13:00:00	395.73	396.25	395.08	395.8699	4082802	SPY	2022-12-12 14:00:00
2022-12-12 12:00:00	395.42	395.92	395.12	395.73	3565627	SPY	2022-12-12 13:00:00
2022-12-12 11:00:00	394.53	395.69	394.34	395.416	4873791	SPY	2022-12-12 12:00:00
2022-12-12 10:00:00	394.64	394.87	393.81	394.52	5601115	SPY	2022-12-12 11:00:00
2022-12-12 09:00:00	394.23	394.76	393.412	394.6327	5248071	SPY	2022-12-12 10:00:00
2022-12-12 08:00:00	394.4	394.83	392.78	394.24	282549	SPY	2022-12-12 09:00:00
2022-12-12 07:00:00	394.41	394.5	394.24	394.39	113419	SPY	2022-12-12 08:00:00
2022-12-12 06:00:00	394.2	394.62	394.2	394.38	63630	SPY	2022-12-12 07:00:00
2022-12-12 05:00:00	394.03	394.52	393.98	394.43	43515	SPY	2022-12-12 06:00:00
2022-12-12 04:00:00	393.16	394.06	392.95	394.06	41336	SPY	2022-12-12 05:00:00
2022-12-09 19:00:00	393.0	393.05	392.55	392.55	39352	SPY	2022-12-09 20:00:00
2022-12-09 18:00:00	392.94	393.02	392.94	393.02	38652	SPY	2022-12-09 19:00:00
2022-12-09 17:00:00	392.9	393.01	392.85	392.94	59039	SPY	2022-12-09 18:00:00
2022-12-09 16:00:00	393.29	394.0	392.8101	392.85	5398993	SPY	2022-12-09 17:00:00
2022-12-09 15:00:00	395.81	396.29	393.15	393.285	14682741	SPY	2022-12-09 16:00:00
2022-12-09 14:00:00	395.97	396.11	395.01	395.85	4622731	SPY	2022-12-09 15:00:00
2022-12-09 13:00:00	396.53	396.53	395.3495	395.9853	4179949	SPY	2022-12-09 14:00:00
2022-12-09 12:00:00	397.39	397.47	396.34	396.56	3656370	SPY	2022-12-09 13:00:00
2022-12-09 11:00:00	397.13	397.62	396.2	397.36	5868068	SPY	2022-12-09 12:00:00
2022-12-09 10:00:00	395.7	397.16	394.72	397.1121	7610234	SPY	2022-12-09 11:00:00
2022-12-09 09:00:00	395.44	396.89	394.12	395.7426	5599299	SPY	2022-12-09 10:00:00
2022-12-09 08:00:00	397.6	398.7	392.75	395.45	1692917	SPY	2022-12-09 09:00:00
2022-12-09 07:00:00	397.7	398.63	397.47	398.55	315545	SPY	2022-12-09 08:00:00
2022-12-09 06:00:00	397.66	397.96	397.4	397.74	42298	SPY	2022-12-09 07:00:00
2022-12-09 05:00:00	396.88	397.59	396.88	397.57	21930	SPY	2022-12-09 06:00:00
2022-12-09 04:00:00	397.1	397.9	396.72	396.91	18245	SPY	2022-12-09 05:00:00
2022-12-08 19:00:00	395.91	396.09	395.7	395.9	56925	SPY	2022-12-08 20:00:00
2022-12-08 18:00:00	396.22	396.52	395.96	395.96	77877	SPY	2022-12-08 19:00:00
2022-12-08 17:00:00	396.06	396.3	396.01	396.24	84678	SPY	2022-12-08 18:00:00
2022-12-08 16:00:00	396.22	396.68	396.03	396.1	4606285	SPY	2022-12-08 17:00:00
2022-12-08 15:00:00	395.54	396.58	394.87	396.21	10282796	SPY	2022-12-08 16:00:00
2022-12-08 14:00:00	396.47	396.47	394.5	395.53	6627396	SPY	2022-12-08 15:00:00
2022-12-08 13:00:00	395.8536	397.27	395.64	396.47	4062194	SPY	2022-12-08 14:00:00
2022-12-08 12:00:00	396.14	396.36	395.065	395.84	3203925	SPY	2022-12-08 13:00:00
2022-12-08 11:00:00	396.63	396.895	395.01	396.1376	4621696	SPY	2022-12-08 12:00:00
2022-12-08 10:00:00	396.18	397.36	396.0618	396.6279	6471796	SPY	2022-12-08 11:00:00
2022-12-08 09:00:00	395.56	396.2501	393.45	396.18	5425490	SPY	2022-12-08 10:00:00
2022-12-08 08:00:00	394.1496	396.57	393.08	395.47	801184	SPY	2022-12-08 09:00:00
2022-12-08 07:00:00	394.4	394.97	394.05	394.89	342876	SPY	2022-12-08 08:00:00
2022-12-08 06:00:00	393.75	394.6	393.47	394.34	34976	SPY	2022-12-08 07:00:00
2022-12-08 05:00:00	393.8	394.07	393.46	393.78	29258	SPY	2022-12-08 06:00:00
2022-12-08 04:00:00	393.9	394.31	393.51	393.76	47705	SPY	2022-12-08 05:00:00
2022-12-07 20:00:00	392.23	392.23	392.23	392.23	1000	SPY	2022-12-07 21:00:00
2022-12-07 19:00:00	393.33	393.34	392.23	392.23	115666	SPY	2022-12-07 20:00:00
2022-12-07 18:00:00	393.11	393.39	393.04	393.24	90102	SPY	2022-12-07 19:00:00
2022-12-07 17:00:00	393.05	393.16	392.94	393.11	493948	SPY	2022-12-07 18:00:00
2022-12-07 16:00:00	393.15	393.37	392.92	393.05	3154370	SPY	2022-12-07 17:00:00
2022-12-07 15:00:00	392.91	393.48	392.09	393.15	8865266	SPY	2022-12-07 16:00:00
2022-12-07 14:00:00	393.02	393.73	392.3246	392.92	4914234	SPY	2022-12-07 15:00:00
2022-12-07 13:00:00	393.71	394.59	392.87	393.0425	3429309	SPY	2022-12-07 14:00:00
2022-12-07 12:00:00	393.38	394.09	392.68	393.71	3505549	SPY	2022-12-07 13:00:00
2022-12-07 11:00:00	395.06	395.64	392.31	393.39	6671661	SPY	2022-12-07 12:00:00
2022-12-07 10:00:00	392.81	395.45	391.97	395.056	9312950	SPY	2022-12-07 11:00:00
2022-12-07 09:00:00	392.85	395.3	392.34	392.82	6369719	SPY	2022-12-07 10:00:00
2022-12-07 08:00:00	392.3475	394.5096	391.07	392.8201	577261	SPY	2022-12-07 09:00:00
2022-12-07 07:00:00	392.55	392.76	390.99	391.5	381285	SPY	2022-12-07 08:00:00
2022-12-07 06:00:00	393.37	393.52	392.26	392.5	69656	SPY	2022-12-07 07:00:00
2022-12-07 05:00:00	393.32	393.42	392.77	393.2	41940	SPY	2022-12-07 06:00:00
2022-12-07 04:00:00	395.0	395.0	393.02	393.24	74044	SPY	2022-12-07 05:00:00
2022-12-06 19:00:00	394.25	394.52	394.06	394.08	63407	SPY	2022-12-06 20:00:00
2022-12-06 18:00:00	393.89	394.4	393.89	394.25	121301	SPY	2022-12-06 19:00:00
2022-12-06 17:00:00	393.99	394.01	393.8	393.86	1000443	SPY	2022-12-06 18:00:00
2022-12-06 16:00:00	393.86	394.23	393.62	393.98	3880997	SPY	2022-12-06 17:00:00
2022-12-06 15:00:00	392.51	394.24	391.98	393.86	15137599	SPY	2022-12-06 16:00:00
2022-12-06 14:00:00	393.3	393.43	391.64	392.49	6986767	SPY	2022-12-06 15:00:00
2022-12-06 13:00:00	394.08	394.34	392.6221	393.3	6725576	SPY	2022-12-06 14:00:00
2022-12-06 12:00:00	395.08	395.64	393.84	394.0617	4762695	SPY	2022-12-06 13:00:00
2022-12-06 11:00:00	395.445	395.885	394.6	395.07	6371608	SPY	2022-12-06 12:00:00
2022-12-06 10:00:00	397.18	397.49	394.81	395.44	10606114	SPY	2022-12-06 11:00:00
2022-12-06 09:00:00	399.69	400.02	397.157	397.19	5887256	SPY	2022-12-06 10:00:00
2022-12-06 08:00:00	400.3301	400.5	398.95	399.7	650849	SPY	2022-12-06 09:00:00
2022-12-06 07:00:00	400.01	400.54	399.89	399.89	246098	SPY	2022-12-06 08:00:00
2022-12-06 06:00:00	399.79	400.02	399.43	400.01	29660	SPY	2022-12-06 07:00:00
2022-12-06 05:00:00	399.93	400.1	399.09	399.93	50606	SPY	2022-12-06 06:00:00
2022-12-06 04:00:00	400.65	400.72	399.89	399.89	31806	SPY	2022-12-06 05:00:00
2022-12-05 19:00:00	400.3	400.56	399.57	400.41	154968	SPY	2022-12-05 20:00:00
2022-12-05 18:00:00	400.01	400.43	399.8	400.23	145644	SPY	2022-12-05 19:00:00
2022-12-05 17:00:00	400.02	400.15	399.91	400.01	56820	SPY	2022-12-05 18:00:00
2022-12-05 16:00:00	399.62	400.04	399.52	400.0	5915946	SPY	2022-12-05 17:00:00
2022-12-05 15:00:00	398.92	399.95	398.62	399.61	12414503	SPY	2022-12-05 16:00:00
2022-12-05 14:00:00	399.17	399.7	398.17	398.9354	6830445	SPY	2022-12-05 15:00:00
2022-12-05 13:00:00	400.36	400.93	399.12	399.1901	5261107	SPY	2022-12-05 14:00:00
2022-12-05 12:00:00	400.94	401.83	400.24	400.36	5274531	SPY	2022-12-05 13:00:00
2022-12-05 11:00:00	403.35	403.9781	400.88	400.95	6836977	SPY	2022-12-05 12:00:00
2022-12-05 10:00:00	403.28	403.66	401.59	403.35	8618973	SPY	2022-12-05 11:00:00
2022-12-05 09:00:00	404.0101	404.93	403.28	403.32	5153576	SPY	2022-12-05 10:00:00
2022-12-05 08:00:00	404.96	406.2	403.82	404.0	646461	SPY	2022-12-05 09:00:00
2022-12-05 07:00:00	405.71	405.72	404.64	404.95	449607	SPY	2022-12-05 08:00:00
2022-12-05 06:00:00	405.17	405.75	405.0	405.65	77922	SPY	2022-12-05 07:00:00
2022-12-05 05:00:00	405.46	405.72	404.89	405.05	92973	SPY	2022-12-05 06:00:00
2022-12-05 04:00:00	406.91	406.91	404.8	405.5	102567	SPY	2022-12-05 05:00:00
2022-12-02 19:00:00	406.03	406.03	405.0	405.93	31108	SPY	2022-12-02 20:00:00
2022-12-02 18:00:00	406.15	406.15	405.86	406.0	31282	SPY	2022-12-02 19:00:00
2022-12-02 17:00:00	406.14	406.2	405.96	406.15	96260	SPY	2022-12-02 18:00:00
2022-12-02 16:00:00	406.87	407.0	405.93	405.96	2606744	SPY	2022-12-02 17:00:00
2022-12-02 15:00:00	406.54	407.86	405.8	406.87	12619199	SPY	2022-12-02 16:00:00
2022-12-02 14:00:00	405.225	406.66	404.48	406.54	4609618	SPY	2022-12-02 15:00:00
2022-12-02 13:00:00	404.74	405.45	404.33	405.22	3429724	SPY	2022-12-02 14:00:00
2022-12-02 12:00:00	405.42	406.3	404.67	404.77	4283713	SPY	2022-12-02 13:00:00
2022-12-02 11:00:00	404.03	406.19	403.58	405.42	8691495	SPY	2022-12-02 12:00:00
2022-12-02 10:00:00	403.08	405.15	402.635	404.07	9872155	SPY	2022-12-02 11:00:00
2022-12-02 09:00:00	402.02	404.1	400.57	403.08	9920515	SPY	2022-12-02 10:00:00
2022-12-02 08:00:00	406.75	407.74	400.01	402.05	4605868	SPY	2022-12-02 09:00:00
2022-12-02 07:00:00	407.03	407.4	406.6	407.38	147475	SPY	2022-12-02 08:00:00
2022-12-02 06:00:00	407.36	407.37	406.86	407.0	35472	SPY	2022-12-02 07:00:00
2022-12-02 05:00:00	407.49	407.69	407.24	407.5	29181	SPY	2022-12-02 06:00:00
2022-12-02 04:00:00	407.15	407.44	406.85	407.44	30389	SPY	2022-12-02 05:00:00
2022-12-01 19:00:00	407.01	407.01	406.08	406.15	155716	SPY	2022-12-01 20:00:00
2022-12-01 18:00:00	407.13	407.25	406.95	407.01	112807	SPY	2022-12-01 19:00:00
2022-12-01 17:00:00	407.09	407.23	406.89	407.15	248570	SPY	2022-12-01 18:00:00
2022-12-01 16:00:00	407.37	407.4	406.84	407.08	2331058	SPY	2022-12-01 17:00:00
2022-12-01 15:00:00	407.95	408.47	407.06	407.38	12119011	SPY	2022-12-01 16:00:00
